Time,ENABLE MFV,MFV,BVFTP,SVFTV,SVCCP
1369.4900000000016,1.0,,,,
1373.9730000000018,,,,,1.0
1411.2419999999984,,,0.0,,
1411.7479999999996,,,11.0,,
1415.1990000000003,,0.0,,,
1415.708999999999,,90.0,,,
1438.6800000000003,,,100.0,,
1439.1990000000003,,,85.0,,
1441.0149999999994,0.0,,,,
1442.5159999999996,1.0,,,,
1443.808000000001,,0.0,,,
1444.3179999999993,,0.0,,,
1445.6450000000004,0.0,,,,
1448.9259999999997,,,,,0.0
1528.3369999999995,,,,1.0,
1591.7520000000004,,,,0.0,
1616.4379999999985,,,,1.0,
